fecha,hosp
4/18/20,165
4/19/20,160
4/20/20,151
4/21/20,117
4/22/20,140
4/23/20,154
4/24/20,172
4/25/20,137
4/26/20,146
4/27/20,140
4/28/20,132
4/29/20,125
4/30/20,201
5/1/20,200
5/2/20,187
5/3/20,171
5/4/20,152
5/5/20,140
5/6/20,144
5/7/20,164
5/8/20,161
5/9/20,148
5/10/20,143
5/11/20,159
5/12/20,127
5/13/20,142
5/14/20,159
5/15/20,147
5/16/20,144
5/17/20,150
5/18/20,147
5/19/20,121
5/20/20,110
5/21/20,114
5/22/20,96
5/23/20,106
5/24/20,106
5/25/20,112
5/26/20,104
5/27/20,105
5/28/20,120
5/29/20,101
5/30/20,106
5/31/20,99
6/1/20,99
6/2/20,106
6/3/20,107
6/4/20,114
6/5/20,116
6/6/20,100
6/7/20,105
6/8/20,107
6/9/20,95
6/10/20,97
6/11/20,91
6/12/20,92
6/13/20,117
6/14/20,110
6/15/20,104
6/16/20,94
6/17/20,78
6/18/20,73
6/19/20,78
6/20/20,83
6/21/20,71
6/22/20,70
6/23/20,77
6/24/20,80
6/25/20,85
6/26/20,89
6/27/20,105
6/28/20,99
6/29/20,104
6/30/20,102
7/1/20,121
7/2/20,97
7/3/20,104
7/4/20,100
7/5/20,118
7/6/20,115
7/7/20,122
7/8/20,127
7/9/20,147
7/10/20,140
7/11/20,174
7/12/20,174
7/13/20,159
7/14/20,206
7/15/20,254
7/16/20,280
7/17/20,302